ID,Make,Model,Model Version,Price,Mileage,Gearbox,First Registration,Fuel Type,Power,Seller,Gears,Engine Size,Cylinders,Weight,Other Fuel Types,Fuel Consumption,CO2 Emissions,Emission Class,Site,Portugal
e5d2aeaaeb63412e9df0372806053acc,BMW,X1,x drive,"€ 10,900.-1","157,000 km",Automatic,04/2012,Diesel,105 kW (143 hp),Private seller,6,"1,800 cc",4,,,,,Euro 5,AutoScout24,No
683a795b955d4340ad2da7716756eccf,BMW,i3,(60 Ah) Range Extender,"€ 13,450.-","165,000 km",Automatic,11/2013,Electric/Gasoline,125 kW (170 hp),Private seller,1,647 cc,2,"1,315 kg",Electricity,,,,AutoScout24,No
da4944d1d13247e08fc0fe21d4ebee59,Volkswagen,Polo,1.2 TDI Bl.M. Comfl.,"€ 7,500.-","256,000 km",Manual,04/2012,Diesel,55 kW (75 hp),Private seller,,"1,199 cc",3,"1,050 kg",,3.4 l/100 km (comb.)4.1 l/100 km (city)3 l/100 km (country),89 g/km (comb.),Euro 5,AutoScout24,No
fc3dc17b11a540818e3afab48470103d,BMW,318,3er 318i Cabrio M Sport Edition,"€ 13,500.-","80,000 km",Manual,07/2013,Gasoline,105 kW (143 hp),Private seller,,"1,995 cc",4,"1,595 kg",,6.6 l/100 km (comb.)8.4 l/100 km (city)5.6 l/100 km (country),,,AutoScout24,No
336a1f0226ea41e8a6c35d76896b875e,Renault,Captur,Captur 0.9 tce Intens (energy r-link) 90cv E6,"€ 14,800.-","144,000 km",Manual,04/2017,LPG,66 kW (90 hp),Private seller,5,898 cc,3,"1,200 kg",,,,Euro 6,AutoScout24,No
ad56738ae314419eada4db15d79eb650,BMW,316,3er 316d Sport Line,"€ 10,900.-","183,000 km",Manual,09/2012,Diesel,85 kW (116 hp),Private seller,6,"1,995 cc",4,"1,410 kg",,4.1 l/100 km (comb.)4.9 l/100 km (city)3.7 l/100 km (country),,Euro 5,AutoScout24,No
29954595a893467c951410844c9f8aa2,BMW,116,116d 5p Sport,"€ 15,000.-","108,200 km",Manual,12/2015,Diesel,85 kW (116 hp),Private seller,,,,,,,,,AutoScout24,No
bd6b21ebc3444d069782943e20039955,Audi,A3,1.6 TDI Ambit. PL S,"€ 13,900.-","106,000 km",Manual,01/2015,Diesel,81 kW (110 hp),Private seller,6,"1,598 cc",4,"1,205 kg",,3.8 l/100 km (comb.)4.5 l/100 km (city)3.4 l/100 km (country),99 g/km (comb.),Euro 6,AutoScout24,No
cb5d8b34e81244df9a9bd808f1b93168,BMW,116,"116d 5p  AUTOMATICA, tagliandi BMW certificati","€ 11,500.-","165,000 km",Automatic,12/2014,Diesel,85 kW (116 hp),Private seller,8,"1,995 cc",4,"1,385 kg",,3.8 l/100 km (comb.)4.4 l/100 km (city),,,AutoScout24,No
6057081251c2488d984cf87564f6dcb2,BMW,525,525d Touring,"€ 14,500.-","186,000 km",Manual,08/2014,Diesel,160 kW (218 hp),Private seller,6,"1,995 cc",4,"1,675 kg",,5.6 l/100 km (comb.)6.6 l/100 km (city)4.9 l/100 km (country),146 g/km (comb.),Euro 6,AutoScout24,No
ede8c27d3d7f4d8b8f501bf0910f7b80,Volvo,V40,V40 D4 R-design,"€ 14,100.-","161,000 km",Manual,05/2014,Diesel,173 kW (235 hp),Private seller,6,"1,969 cc",4,"1,578 kg",,3.8 l/100 km (comb.)4.2 l/100 km (city)3.6 l/100 km (country),,,AutoScout24,No
d223612107a44484a0ef8cd49eb34cfe,Peugeot,508,508 SW SW 2.0 hdi 16v Business Ciel 140cv,"€ 7,800.-","170,100 km",Manual,09/2013,Diesel,103 kW (140 hp),Private seller,6,"1,997 cc",4,"1,500 kg",,5 l/100 km (comb.)6.8 l/100 km (city)4 l/100 km (country),125 g/km (comb.),Euro 5,AutoScout24,No
c61c3a223f024522a9494ba4e426f052,Alfa Romeo,MiTo,alfa romeo mito neo patemtati,"€ 11,500.-","65,000 km",Manual,02/2018,Diesel,66 kW (90 hp),Private seller,5,"1,248 cc",4,"1,150 kg",,3.2 l/100 km (comb.)4.1 l/100 km (city)2.6 l/100 km (country),,Euro 6d,AutoScout24,No
029968e811a34417a01b13de53b5f62f,Land Rover,Range Rover Sport,HSE,"€ 12,900.-","220,000 km",Automatic,10/2010,Diesel,180 kW (245 hp),Private seller,6,"3,000 cc",6,"2,500 kg",,,,,AutoScout24,No
9dd6ea3465a147098dc463a334df9d45,Audi,A7,3.0 TFSI q. PL. plus,"€ 13,500.-","318,000 km",Automatic,03/2011,Gasoline,220 kW (299 hp),Private seller,,"2,995 cc",6,"1,760 kg",,8.2 l/100 km (comb.)10.8 l/100 km (city)6.6 l/100 km (country),190 g/km (comb.),Euro 5,AutoScout24,No
6e12624582d6420d90076344aed310cc,Volkswagen,CC,2.0 TDI BlueMotion,"€ 10,900.-","285,000 km",Automatic,11/2013,Diesel,103 kW (140 hp),Private seller,,"1,968 cc",4,"1,471 kg",,5.1 l/100 km (comb.)6.1 l/100 km (city)4.5 l/100 km (country),134 g/km (comb.),Euro 5,AutoScout24,No
5c78861a28fe404483f9149250f545da,Audi,A6,A6 2.7 V6 tdi tiptronic,"€ 9,800.-","185,000 km",Semi-automatic,06/2010,Diesel,140 kW (190 hp),Private seller,6,"2,698 cc",6,"1,825 kg",,8 l/100 km (comb.)11 l/100 km (city)7 l/100 km (country),,Euro 5,AutoScout24,No
217e9afc976f46d19e2bfe7db7cf4db1,Volkswagen,Passat Variant,Passat VII  Variant 2.0 tdi  dsg,"€ 9,400.-1","230,850 km",Semi-automatic,07/2014,Diesel,103 kW (140 hp),Private seller,,"1,968 cc",4,"1,601 kg",,5.2 l/100 km (comb.)6.3 l/100 km (city)4.5 l/100 km (country),,Euro 5,AutoScout24,No
e70af20eab8348b49b014e23ed578150,Peugeot,5008,5008 I 2009 1.6 e-hdi 8v Family s,"€ 8,900.-","99,520 km",Semi-automatic,02/2013,Diesel,82 kW (111 hp),Private seller,,"1,560 cc",4,"1,547 kg",,4.9 l/100 km (comb.)5.4 l/100 km (city)4.6 l/100 km (country),,Euro 5,AutoScout24,No
8f9cce1174be4fc3ba10de37129759ec,MINI,Cooper D Paceman,1.6,"€ 11,500.-","169,420 km",Manual,10/2013,Diesel,82 kW (111 hp),Private seller,6,"1,598 cc",4,"1,375 kg",,4.4 l/100 km (comb.)4.7 l/100 km (city)4.2 l/100 km (country),115 g/km (comb.),Euro 5,AutoScout24,No
81d2f1e8c2434e2695b9a1dc1e85a3d5,BMW,320,320d Touring,"€ 12,800.-","211,000 km",Semi-automatic,01/2014,Diesel,135 kW (184 hp),Private seller,6,"1,995 cc",4,"1,490 kg",,4.7 l/100 km (comb.)5.9 l/100 km (city)4 l/100 km (country),,Euro 5,AutoScout24,No
c0a40fee5a8341c084349fce9fad8473,Mercedes-Benz,220,,"€ 14,200.-","135,900 km",Automatic,11/2013,Diesel,125 kW (170 hp),Private seller,5,"2,143 cc",4,,,,,Euro 5,AutoScout24,No
6f7694667a4d45b2b58a2a11692eee09,Ford,Fiesta,Fiesta VII 2017 5p 5p 1.5 tdci Titanium 85cv,"€ 14,900.-","103,000 km",Manual,12/2017,Diesel,63 kW (86 hp),Private seller,6,"1,499 cc",4,"1,186 kg",,3.6 l/100 km (comb.)4.3 l/100 km (city)3.2 l/100 km (country),,Euro 6d-TEMP,AutoScout24,No
79101c4418d341a5a52c4b086e1f357c,Mercedes-Benz,R 350,R 350 CDI DPF 4Matic 7G-TRONIC,"€ 13,000.-","198,000 km",Automatic,11/2010,Diesel,195 kW (265 hp),Private seller,,"2,987 cc",6,"2,250 kg",,8.5 l/100 km (comb.)11 l/100 km (city)7 l/100 km (country),,Euro 5,AutoScout24,No
8e3d4ffae21e4676ab52ff08af80b0a3,Audi,A5,"3.0Liter V6 , S-Line (Vollausgestattet) / B8","€ 12,900.-","256,000 km",,12/2010,Diesel,176 kW (239 hp),Private seller,,,,,,,,,AutoScout24,No
8a6a1327904e424887a0b7491c2f1eb6,Subaru,Forester,2.0X Automatik Exclusive,"€ 8,000.-","171,760 km",Automatic,05/2011,Gasoline,110 kW (150 hp),Private seller,4,"1,995 cc",4,"1,510 kg",,7.5 l/100 km (comb.)9.7 l/100 km (city)6.3 l/100 km (country),174 g/km (comb.),,AutoScout24,No
12c81d019f3b45cc8629f31756a832df,Ford,Focus,5p 1.5 tdci Plus s&s 120CV,"€ 13,500.-","60,250 km",Manual,04/2017,Diesel,88 kW (120 hp),Private seller,6,"1,499 cc",4,"1,343 kg",,3.8 l/100 km (comb.)4.3 l/100 km (city)3.4 l/100 km (country),98 g/km (comb.),,AutoScout24,No
377a036387d348e7aec7d271c0ccbc62,Mercedes-Benz,E 350,CDI DPF Coupe BlueEFFICIENCY 7G-TRONIC Elegance,"€ 11,900.-","228,500 km",Automatic,12/2011,Diesel,195 kW (265 hp),Private seller,7,"2,987 cc",6,"1,735 kg",,6 l/100 km (comb.)7.3 l/100 km (city)4.9 l/100 km (country),159 g/km (comb.),Euro 5,AutoScout24,No
1ee4210bc4ee444b8e083081f12aa572,Fiat,Doblo,,"€ 10,500.-","120,000 km",Manual,08/2014,Diesel,66 kW (90 hp),Private seller,6,"1,598 cc",4,"1,410 kg",,5.2 l/100 km (comb.)6.1 l/100 km (city)4.7 l/100 km (country),138 g/km (comb.),,AutoScout24,No
5a0952c251f841a1a2266df52121ed2c,Kia,Ceed SW / cee'd SW,"Ceed 1.6 CRDi 128 Spirit Navi, AHK, Scheckheft uvm","€ 11,190.-","195,500 km",Manual,03/2014,Diesel,94 kW (128 hp),Private seller,6,"1,582 cc",4,"1,420 kg",,4.4 l/100 km (comb.)5.3 l/100 km (city)4 l/100 km (country),,,AutoScout24,No
d15fde22483b4c3a816c8049557b1f2c,Mazda,CX-5,,"€ 12,900.-","159,000 km",Manual,03/2016,Diesel,110 kW (150 hp),Private seller,6,"2,191 cc",4,"1,555 kg",,,,,AutoScout24,No
be531b8c6d94425785b6766906dc4a28,Lexus,CT 200h,1.8 hybrid Black Style cvt,"€ 15,000.-","143,000 km",Automatic,11/2015,Electric/Gasoline,73 kW (99 hp),Private seller,,"1,798 cc",4,"1,465 kg",Electricity,,,,AutoScout24,No
83c8520c19b14ce89525dc405bc9b443,Renault,Laguna,2.0 dCi Monaco GP 4C,"€ 12,000.-1","72,000 km",Automatic,07/2015,Diesel,127 kW (173 hp),Private seller,6,"1,995 cc",4,"1,614 kg",,5.7 l/100 km (comb.)7.4 l/100 km (city)4.8 l/100 km (country),150 g/km (comb.),Euro 5,AutoScout24,No
325cfa24217a41e3a44316a2e82db28b,Audi,A3,Sportback 1.6 tdi Business 110cv - S-line,"€ 14,000.-","125,000 km",Manual,02/2016,Diesel,81 kW (110 hp),Private seller,6,"1,598 cc",4,"1,335 kg",,3.8 l/100 km (comb.)4.5 l/100 km (city)3.4 l/100 km (country),,Euro 6,AutoScout24,No
d1586935b4dd49b0a13f2a6effbc3d5f,Opel,Cascada,2.0 CDTi BiTurbo Cosmo S,"€ 14,250.-","99,000 km",Manual,07/2014,Diesel,143 kW (194 hp),Private seller,6,"1,956 cc",4,"1,781 kg",,,,Euro 5,AutoScout24,No
07bb63601f0647d3962472e5fa95f887,MINI,One,First 3-Türer,"€ 13,870.-","51,902 km",Manual,08/2017,Gasoline,55 kW (75 hp),Private seller,6,,,"1,160 kg",,4.7 l/100 km (comb.)5.8 l/100 km (city)4.1 l/100 km (country),,Euro 4,AutoScout24,No
5124193add6a45e0b82d660f63fc51fd,Renault,Scenic,Scénic 1.5dCi Energy Dynamique 110,"€ 10,500.-","107,000 km",Manual,06/2012,Diesel,81 kW (110 hp),Private seller,6,"1,461 cc",4,"1,434 kg",,4.1 l/100 km (comb.)4.5 l/100 km (city)3.9 l/100 km (country),105 g/km (comb.),Euro 5,AutoScout24,No
b1ae6ff7fc884cc98c0827566169aab6,BMW,116,116i,"€ 6,990.-","162,000 km",Manual,07/2011,Gasoline,90 kW (122 hp),Private seller,6,"1,995 cc",4,"1,320 kg",,6.1 l/100 km (comb.)7.9 l/100 km (city)5.1 l/100 km (country),,,AutoScout24,No
f16d175040594e64943148f9fd888af7,MINI,Cooper S,Roadster Cooper S 1.6  Chili,"€ 12,500.-","110,225 km",Manual,04/2012,Gasoline,135 kW (184 hp),Private seller,,"1,598 cc",4,"1,160 kg",,6 l/100 km (comb.)7.5 l/100 km (city)5.1 l/100 km (country),139 g/km (comb.),Euro 5,AutoScout24,No
2870e62b528142a184612d331e7be013,Opel,Astra,1.6 CDTI Business Ex,"€ 13,000.-","109,024 km",Automatic,07/2017,Diesel,100 kW (136 hp),Private seller,,"1,598 cc",4,"1,254 kg",,4.5 l/100 km (comb.)5.7 l/100 km (city)3.8 l/100 km (country),119 g/km (comb.),Euro 6,AutoScout24,No
ce67a4210725407aab94059799cdb32f,BMW,118,i Business,"€ 10,000.-","185,030 km",Manual,08/2011,Gasoline,125 kW (170 hp),Private seller,6,"1,598 cc",4,"1,270 kg",,5.9 l/100 km (comb.)7.6 l/100 km (city)4.9 l/100 km (country),137 g/km (comb.),Euro 5,AutoScout24,No
d61bc502d477497e945f16c76003582b,BMW,116,i Executive UrbanLine (Automaat),"€ 14,995.-","144,000 km",Automatic,02/2015,Gasoline,100 kW (136 hp),Private seller,6,"1,598 cc",4,"1,295 kg",,5.6 l/100 km (comb.)7.2 l/100 km (city)4.6 l/100 km (country),129 g/km (comb.),Euro 6,AutoScout24,No
16dde402cc924fcf8b5637e2b1d8ba02,BMW,318,318d Touring,"€ 13,100.-","170,000 km",Manual,05/2014,Diesel,105 kW (143 hp),Private seller,6,"1,995 cc",4,"1,550 kg",,,,Euro 5,AutoScout24,No
9b722a854f8a4054ae111dcbba73b93b,Volvo,V40 Cross Country,T3 152 Xénium Geartronic A 6 MOIS GARANTIE,"€ 15,000.-","140,000 km",Automatic,08/2015,Gasoline,112 kW (152 hp),Private seller,6,"1,498 cc",4,"1,371 kg",,5.6 l/100 km (comb.)7.4 l/100 km (city)4.6 l/100 km (country),131 g/km (comb.),Euro 6,AutoScout24,No
08c2c477c0ec417ebe727e76c1f3f802,Volkswagen,Golf,Trendline BMT VII Lim. (5G1/BE1),"€ 10,200.-","57,000 km",Manual,11/2012,Gasoline,63 kW (86 hp),Private seller,,"1,197 cc",4,"1,205 kg",,4.9 l/100 km (comb.)5.9 l/100 km (city)4.2 l/100 km (country),113 g/km (comb.),Euro 5,AutoScout24,No
928bc8c092ab4951bf4dcbf0ca13104a,Mercedes-Benz,E 350,CDI DPF 4Matic BlueEFFICIENCY 7G-TRONIC Avantgarde,"€ 11,500.-","222,000 km",Automatic,10/2010,Diesel,195 kW (265 hp),Private seller,7,"2,987 cc",6,"1,900 kg",,6.6 l/100 km (comb.)8.2 l/100 km (city)5.5 l/100 km (country),173 g/km (comb.),,AutoScout24,No
c4468d8b03114656a62ae38a0a5b05f1,Volkswagen,Golf,1.2 TSI Edition 165 PK,"€ 13,999.-","88,000 km",Manual,08/2016,Gasoline,121 kW (165 hp),Private seller,5,"1,197 cc",4,"1,129 kg",,4.9 l/100 km (comb.)6.1 l/100 km (city)4.2 l/100 km (country),113 g/km (comb.),Euro 6,AutoScout24,No
870e8f2f21334766827e983b57221d26,Citroen,C3 Aircross,C3 Aircross PureTech 110 Stop,"€ 14,300.-","99,000 km",Automatic,06/2018,Gasoline,81 kW (110 hp),Private seller,,"1,199 cc",3,"1,278 kg",,5.6 l/100 km (comb.)6.7 l/100 km (city)4.8 l/100 km (country),124 g/km (comb.),Euro 6,AutoScout24,No
5d8796fdacbc49d39cfa139ad16df493,BMW,118,d,"€ 10,000.-","146,000 km",Manual,05/2012,Diesel,105 kW (143 hp),Private seller,6,"1,995 cc",4,"1,425 kg",,,,Euro 5,AutoScout24,No
c8dae010251c4852bd3b3eae262e2862,Fiat,Panda,1.2 Easy 69cv E6,"€ 8,900.-","57,500 km",Manual,05/2016,Gasoline,51 kW (69 hp),Private seller,5,"1,242 cc",4,940 kg,,5.1 l/100 km (comb.)6.7 l/100 km (city)4.3 l/100 km (country),119 g/km (comb.),,AutoScout24,No
e6f09e581f574d2b90a97fbbed3f6b29,BMW,730,730d,"€ 14,500.-","282,000 km",Automatic,06/2010,Diesel,180 kW (245 hp),Private seller,6,"2,993 cc",6,"1,865 kg",,6.8 l/100 km (comb.)9 l/100 km (city)5.5 l/100 km (country),,Euro 6d,AutoScout24,No
880cc4a09c024f9698db5d2bcd0c8fb6,BMW,320,d Touring (E91),"€ 11,999.-","199,401 km",Manual,08/2011,Diesel,135 kW (184 hp),Private seller,6,"1,995 cc",4,"1,580 kg",,4.8 l/100 km (comb.)6 l/100 km (city)4.1 l/100 km (country),128 g/km (comb.),Euro 5,AutoScout24,No
9c7cf138e46a4b08bf1186fba8449d66,Mercedes-Benz,GLA 200,,"€ 14,900.-","184,000 km",Manual,07/2014,Diesel,100 kW (136 hp),Private seller,6,"2,143 cc",4,"1,505 kg",,4.5 l/100 km (comb.)5 l/100 km (city)4 l/100 km (country),,Euro 6d,AutoScout24,No
c6fc79f29aed479b94fa7431ca8bf8d1,Ford,Fiesta,Fiesta 3p 1.4 16v Titanium c/esp Gpl E5,"€ 7,650.-","94,748 km",Manual,03/2010,LPG,68 kW (92 hp),Private seller,5,"1,400 cc",,,,6 l/100 km (comb.)8 l/100 km (city)5 l/100 km (country),,Euro 5,AutoScout24,No
7cf919feddd2459293610761889506da,Honda,Accord,Accord 2.2 Type-S 180cv,"€ 9,333.-","205,000 km",Manual,02/2013,Diesel,132 kW (179 hp),Private seller,6,"2,199 cc",4,"1,450 kg",,5.6 l/100 km (comb.)7.1 l/100 km (city)4.7 l/100 km (country),143 g/km (comb.),Euro 5,AutoScout24,No
d338028e856a4546a0ad7c342a0372ce,Ford,Mondeo,1.6 TDCi ECOnetic,"€ 6,900.-","183,700 km",Manual,10/2012,Diesel,85 kW (116 hp),Private seller,6,"1,560 cc",4,"1,559 kg",,,,Euro 5,AutoScout24,No
c1cd5850466f44ad99e3a1d60a5c5872,Volkswagen,Golf Variant,"Golf 7 Variant 1,6 TDI","€ 13,990.-","165,600 km",Manual,02/2017,Diesel,81 kW (110 hp),Private seller,5,"1,598 cc",4,"1,395 kg",,,,Euro 5,AutoScout24,No
54ef829a9e7b48e39b21bbf3add5aa85,Opel,Astra,1.0 Online Ed.,"€ 12,950.-","107,000 km",Manual,11/2018,Gasoline,77 kW (105 hp),Private seller,5,999 cc,3,"1,163 kg",,4.4 l/100 km (comb.)5.4 l/100 km (city)3.9 l/100 km (country),102 g/km (comb.),Euro 6,AutoScout24,No
e1c3e5efcd8b4dbeb73e6fbf52f40890,Jeep,Renegade,1.4 MultiAir Limited,"€ 13,999.-","155,000 km",Manual,12/2014,Gasoline,103 kW (140 hp),Private seller,6,"1,368 cc",4,"1,395 kg",,6 l/100 km (comb.)7.6 l/100 km (city)5.1 l/100 km (country),,Euro 6,AutoScout24,No
2bacf98edefe451c94453d3f9fa628a4,BMW,320,320d Sport,"€ 9,890.-","275,000 km",Manual,09/2013,Diesel,135 kW (184 hp),Private seller,6,"1,998 cc",4,,,,,Euro 5,AutoScout24,No
fb1956cfb6564cfabacdac24f8a926b8,Ford,Fiesta,Fiesta 1.6 EcoBoost mit Leder-Sport-Paket ST,"€ 12,500.-","100,000 km",Manual,03/2015,Gasoline,134 kW (182 hp),Private seller,6,"1,596 cc",4,"1,163 kg",,5.9 l/100 km (comb.)7.9 l/100 km (city)4.8 l/100 km (country),138 g/km (comb.),Euro 6,AutoScout24,No
ba0908dfbc5c40ce9396a78f8411dd89,Citroen,Grand C4 Picasso,C4 Grand Picasso  1.6 e-hdi Business 90cv etg6,"€ 9,000.-","146,000 km",Semi-automatic,03/2015,Diesel,68 kW (92 hp),Private seller,,"1,560 cc",4,"1,391 kg",,3.8 l/100 km (comb.)4.2 l/100 km (city)3.5 l/100 km (country),,Euro 5,AutoScout24,No
3b7f6e9e228e4d739f0344769e3aaa2c,Volkswagen,Touran,Touran II 2010 1.4 tsi Comfortline ecofuel M 150cv,"€ 11,500.-","166,000 km",Manual,06/2013,CNG,110 kW (150 hp),Private seller,5,"1,390 cc",4,"1,698 kg",,7.2 kg/100 km (comb.)9.5 kg/100 km (city)5.8 kg/100 km (country),,Euro 5,AutoScout24,No
5c6e7d97044242ceac0ba2f20d85b8b8,BMW,520,520d Touring,"€ 11,500.-","180,200 km",Manual,02/2011,Diesel,135 kW (184 hp),Private seller,6,"1,995 cc",4,"1,710 kg",,4.9 l/100 km (comb.)5.9 l/100 km (city)4.4 l/100 km (country),,,AutoScout24,No
9d8721e99ef3489f8ca41adde85d2336,Mercedes-Benz,E 250,CDI DPF BlueEFFICIENCY 7G-TRONIC,"€ 14,999.-","184,000 km",Automatic,04/2011,Diesel,150 kW (204 hp),Private seller,7,"2,143 cc",4,"1,735 kg",,4.9 l/100 km (comb.)6.2 l/100 km (city)4.2 l/100 km (country),,,AutoScout24,No
3042ea8649714c44902ed6ec24fc3dab,Mercedes-Benz,ML 300,CDI 4Matic,"€ 12,850.-","212,000 km",Automatic,01/2010,Diesel,173 kW (235 hp),Private seller,7,"2,987 cc",,,,,,Euro 5,AutoScout24,No
258dab4882d74c63b85a80d9dcb4655d,Alfa Romeo,Giulietta,1.6 jtdm Exclusive 120cv,"€ 10,500.-","105,740 km",Manual,11/2015,Diesel,88 kW (120 hp),Private seller,6,"1,598 cc",4,"1,310 kg",,3.9 l/100 km (comb.)4.9 l/100 km (city)3.3 l/100 km (country),90 g/km (comb.),Euro 6,AutoScout24,No
1df4b22e84314b75a08acd53a4614c7a,Nissan,Qashqai,1.6 Connect Edition,"€ 9,000.-","188,233 km",Manual,03/2011,Gasoline,86 kW (117 hp),Private seller,5,"1,598 cc",4,"1,210 kg",,6.2 l/100 km (comb.)7.9 l/100 km (city)5.2 l/100 km (country),144 g/km (comb.),Euro 5,AutoScout24,No
13e2ff293819486987464597f54b49ab,Volkswagen,Tiguan,2.0 TDI DPF 4Motion DSG Sport & Style,"€ 12,199.-","218,000 km",Automatic,12/2011,Diesel,103 kW (140 hp),Private seller,7,"1,968 cc",4,"1,675 kg",,6.2 l/100 km (comb.)7.8 l/100 km (city)5.2 l/100 km (country),,,AutoScout24,No
9d481aa499c94b7abef167406fbe5ce7,Citroen,C3,1.2i PureTech Highlight S,"€ 10,800.-","86,900 km",Manual,01/2019,Gasoline,61 kW (83 hp),Private seller,5,"1,199 cc",3,"1,055 kg",,,,Euro 6d,AutoScout24,No
ac89572bfdfb40fe8149a1833dd67f0f,Audi,A3,2.0 TDi Attraction _ Airco _ GPS,"€ 10,500.-","166,660 km",Manual,07/2015,Diesel,110 kW (150 hp),Private seller,6,"1,968 cc",4,"1,355 kg",,,,Euro 6,AutoScout24,No
6a55b59daec740e7a618bbaa71bb6f95,Volkswagen,Golf,Trendline VI (5K1),"€ 6,500.-","145,000 km",Manual,12/2010,Gasoline,63 kW (86 hp),Private seller,,"1,197 cc",4,"1,229 kg",,5.5 l/100 km (comb.)7 l/100 km (city)4.6 l/100 km (country),129 g/km (comb.),Euro 5,AutoScout24,No
956496f7e080483a94f5cd4a83d52d4b,Mercedes-Benz,GLK 220,GLK-Klasse BlueTEC 4Matic 7G-TRONIC,"€ 14,450.-","275,000 km",Automatic,08/2012,Diesel,125 kW (170 hp),Private seller,7,"2,143 cc",4,"1,925 kg",,6.1 l/100 km (comb.)7 l/100 km (city)5.5 l/100 km (country),,,AutoScout24,No
e9d25f55e18849b5b7db5f4a51f91b69,Hyundai,i30,i30 1.6 crdi Comfort 110cv,"€ 12,200.-","60,000 km",Manual,10/2017,Diesel,81 kW (110 hp),Private seller,6,"1,600 cc",4,,,5 l/100 km (comb.)6 l/100 km (city)4 l/100 km (country),,Euro 6,AutoScout24,No
88b21c8c6b624c9db40f81e3cb3c6b25,BMW,X3,xDrive20d Österreich-Paket Aut.,"€ 12,500.-","285,814 km",Automatic,04/2012,Diesel,135 kW (184 hp),Private seller,8,"1,995 cc",4,"1,800 kg",,5.6 l/100 km (comb.)6.1 l/100 km (city)5.3 l/100 km (country),147 g/km (comb.),Euro 5,AutoScout24,No
